<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
EURGBP,20010103,00:00:00,0.6328,0.6212,0.6353,0.6222
EURGBP,20010104,00:00:00,0.6222,0.6220,0.6340,0.6328
EURGBP,20010105,00:00:00,0.6328,0.6323,0.6376,0.6374
EURGBP,20010108,00:00:00,0.6371,0.6314,0.6374,0.6325
EURGBP,20010109,00:00:00,0.6325,0.6299,0.6342,0.6337
EURGBP,20010110,00:00:00,0.6337,0.6291,0.6346,0.6298
EURGBP,20010111,00:00:00,0.6298,0.6292,0.6380,0.6357
EURGBP,20010112,00:00:00,0.6357,0.6345,0.6438,0.6434
EURGBP,20010115,00:00:00,0.6439,0.6359,0.6439,0.6384
EURGBP,20010116,00:00:00,0.6384,0.6351,0.6411,0.6398
EURGBP,20010117,00:00:00,0.6398,0.6308,0.6414,0.6350
EURGBP,20010118,00:00:00,0.6350,0.6339,0.6418,0.6399
EURGBP,20010119,00:00:00,0.6399,0.6364,0.6432,0.6384
EURGBP,20010122,00:00:00,0.6384,0.6352,0.6416,0.6400
EURGBP,20010123,00:00:00,0.6400,0.6367,0.6428,0.6369
EURGBP,20010124,00:00:00,0.6369,0.6311,0.6389,0.6348
EURGBP,20010125,00:00:00,0.6348,0.6290,0.6348,0.6330
EURGBP,20010126,00:00:00,0.6330,0.6304,0.6343,0.6323
EURGBP,20010129,00:00:00,0.6320,0.6279,0.6335,0.6286
EURGBP,20010130,00:00:00,0.6286,0.6270,0.6346,0.6333
EURGBP,20010131,00:00:00,0.6333,0.6329,0.6401,0.6401
EURGBP,20010201,00:00:00,0.6401,0.6343,0.6429,0.6343
EURGBP,20010202,00:00:00,0.6341,0.6336,0.6378,0.6369
EURGBP,20010205,00:00:00,0.6365,0.6354,0.6396,0.6360
EURGBP,20010206,00:00:00,0.6360,0.6355,0.6383,0.6377
EURGBP,20010207,00:00:00,0.6377,0.6362,0.6398,0.6389
EURGBP,20010208,00:00:00,0.6388,0.6338,0.6399,0.6354
EURGBP,20010209,00:00:00,0.6354,0.6345,0.6407,0.6405
EURGBP,20010212,00:00:00,0.6400,0.6380,0.6416,0.6411
EURGBP,20010213,00:00:00,0.6411,0.6317,0.6415,0.6339
EURGBP,20010214,00:00:00,0.6339,0.6286,0.6342,0.6308
EURGBP,20010215,00:00:00,0.6308,0.6228,0.6314,0.6247
EURGBP,20010216,00:00:00,0.6245,0.6235,0.6323,0.6315
EURGBP,20010219,00:00:00,0.6304,0.6297,0.6381,0.6363
EURGBP,20010220,00:00:00,0.6363,0.6282,0.6381,0.6293
EURGBP,20010221,00:00:00,0.6293,0.6265,0.6348,0.6302
