<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
EURJPY,20010103,00:00:00,108.8100,105.2300,109.4600,105.3800
EURJPY,20010104,00:00:00,105.3900,105.3900,109.9500,109.9200
EURJPY,20010105,00:00:00,109.9300,109.9100,111.7200,111.6000
EURJPY,20010108,00:00:00,111.7000,109.7300,111.7700,110.0300
EURJPY,20010109,00:00:00,110.0200,108.6900,110.4300,110.2800
EURJPY,20010110,00:00:00,110.2700,108.9500,110.5000,108.9900
EURJPY,20010111,00:00:00,108.9900,108.9900,112.3500,112.2300
EURJPY,20010112,00:00:00,112.2400,111.3400,113.1500,112.6500
EURJPY,20010115,00:00:00,112.7300,111.6900,113.0900,112.2100
EURJPY,20010116,00:00:00,112.2100,109.8300,112.3700,111.0300
EURJPY,20010117,00:00:00,111.0200,109.0900,111.3800,111.3200
EURJPY,20010118,00:00:00,111.3200,110.6700,112.2400,111.3100
EURJPY,20010119,00:00:00,111.3100,109.2800,112.0300,109.5500
EURJPY,20010122,00:00:00,109.4000,108.0000,109.5800,109.3500
EURJPY,20010123,00:00:00,109.3600,109.0000,110.8100,109.0600
EURJPY,20010124,00:00:00,109.0600,108.5300,109.9200,108.9100
EURJPY,20010125,00:00:00,108.9200,106.7100,108.9300,107.9900
EURJPY,20010126,00:00:00,107.9900,107.3400,108.5600,108.4400
EURJPY,20010129,00:00:00,108.5100,106.9400,108.7400,107.0500
EURJPY,20010130,00:00:00,107.0400,106.4700,108.0100,107.3000
EURJPY,20010131,00:00:00,107.3000,107.1300,109.2300,109.2300
EURJPY,20010201,00:00:00,109.2300,108.1800,109.8600,108.3900
EURJPY,20010202,00:00:00,108.3500,107.6200,108.5900,108.1700
EURJPY,20010205,00:00:00,108.1800,107.4800,109.1800,107.6200
EURJPY,20010206,00:00:00,107.6200,106.6100,108.0500,106.8800
EURJPY,20010207,00:00:00,106.8900,106.5600,108.6200,107.9600
EURJPY,20010208,00:00:00,107.9600,106.1000,108.3300,107.2300
EURJPY,20010209,00:00:00,107.2200,106.6900,109.0600,108.7300
EURJPY,20010212,00:00:00,108.8600,108.6200,109.6400,109.4500
EURJPY,20010213,00:00:00,109.4500,107.0400,109.6800,107.5800
EURJPY,20010214,00:00:00,107.5800,106.5400,107.6900,106.6800
EURJPY,20010215,00:00:00,106.6900,104.3300,106.9900,104.6000
EURJPY,20010216,00:00:00,104.6000,104.1300,105.9100,105.7900
EURJPY,20010219,00:00:00,105.8600,105.6500,107.0200,106.9100
EURJPY,20010220,00:00:00,106.9000,104.4400,107.2800,105.3600
EURJPY,20010221,00:00:00,105.3600,104.7500,107.0600,105.9700
EURJPY,20010222,00:00:00,105.9600,104.7500,106.1600,105.6000
EURJPY,20010223,00:00:00,105.6100,105.2600,106.7200,106.2900
EURJPY,20010226,00:00:00,106.2900,105.5300,106.6600,106.0100
