<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
GBPCHF,20010103,00:00:00,2.4014,2.3942,2.4347,2.4304
GBPCHF,20010104,00:00:00,2.4305,2.3964,2.4319,2.4072
GBPCHF,20010105,00:00:00,2.4072,2.3942,2.4118,2.3995
GBPCHF,20010108,00:00:00,2.4022,2.4008,2.4224,2.4079
GBPCHF,20010109,00:00:00,2.4079,2.4012,2.4167,2.4023
GBPCHF,20010110,00:00:00,2.4023,2.3996,2.4249,2.4220
GBPCHF,20010111,00:00:00,2.4220,2.4021,2.4250,2.4140
GBPCHF,20010112,00:00:00,2.4139,2.3877,2.4188,2.3915
GBPCHF,20010115,00:00:00,2.3903,2.3894,2.4205,2.4134
GBPCHF,20010116,00:00:00,2.4134,2.3991,2.4267,2.4036
GBPCHF,20010117,00:00:00,2.4037,2.3999,2.4334,2.4205
GBPCHF,20010118,00:00:00,2.4195,2.3804,2.4245,2.3859
GBPCHF,20010119,00:00:00,2.3860,2.3742,2.4035,2.3951
GBPCHF,20010122,00:00:00,2.3959,2.3853,2.4110,2.3909
GBPCHF,20010123,00:00:00,2.3908,2.3830,2.4053,2.4046
GBPCHF,20010124,00:00:00,2.4046,2.3974,2.4249,2.4079
GBPCHF,20010125,00:00:00,2.4080,2.4078,2.4247,2.4115
GBPCHF,20010126,00:00:00,2.4115,2.4044,2.4217,2.4130
GBPCHF,20010129,00:00:00,2.4151,2.4105,2.4194,2.4166
GBPCHF,20010130,00:00:00,2.4166,2.4012,2.4202,2.4064
GBPCHF,20010131,00:00:00,2.4065,2.3913,2.4082,2.3913
GBPCHF,20010201,00:00:00,2.3912,2.3845,2.4129,2.4128
GBPCHF,20010202,00:00:00,2.4136,2.4083,2.4229,2.4148
GBPCHF,20010205,00:00:00,2.4150,2.4068,2.4190,2.4156
GBPCHF,20010206,00:00:00,2.4156,2.4080,2.4192,2.4132
GBPCHF,20010207,00:00:00,2.4131,2.3996,2.4190,2.4034
GBPCHF,20010208,00:00:00,2.4035,2.4000,2.4169,2.4137
GBPCHF,20010209,00:00:00,2.4137,2.3936,2.4149,2.3968
GBPCHF,20010212,00:00:00,2.3974,2.3925,2.4066,2.4009
GBPCHF,20010213,00:00:00,2.4009,2.4000,2.4293,2.4220
GBPCHF,20010214,00:00:00,2.4219,2.4212,2.4395,2.4295
GBPCHF,20010215,00:00:00,2.4295,2.4271,2.4593,2.4511
GBPCHF,20010216,00:00:00,2.4509,2.4253,2.4576,2.4281
GBPCHF,20010219,00:00:00,2.4334,2.4095,2.4361,2.4146
GBPCHF,20010220,00:00:00,2.4146,2.4082,2.4409,2.4376
GBPCHF,20010221,00:00:00,2.4376,2.4163,2.4457,2.4311
GBPCHF,20010222,00:00:00,2.4311,2.4240,2.4528,2.4481
GBPCHF,20010223,00:00:00,2.4480,2.4272,2.4518,2.4329
GBPCHF,20010226,00:00:00,2.4331,2.4302,2.4476,2.4368
GBPCHF,20010227,00:00:00,2.4367,2.4113,2.4399,2.4179
GBPCHF,20010228,00:00:00,2.4179,2.4086,2.4208,2.4118
GBPCHF,20010301,00:00:00,2.4119,2.3992,2.4155,2.4018
GBPCHF,20010302,00:00:00,2.4018,2.3992,2.4271,2.4231
GBPCHF,20010305,00:00:00,2.4126,2.4119,2.4320,2.4287
GBPCHF,20010306,00:00:00,2.4286,2.4162,2.4347,2.4192
GBPCHF,20010307,00:00:00,2.4193,2.4084,2.4246,2.4206
GBPCHF,20010308,00:00:00,2.4205,2.4140,2.4339,2.4251
GBPCHF,20010309,00:00:00,2.4251,2.4173,2.4353,2.4269
GBPCHF,20010312,00:00:00,2.4254,2.4197,2.4338,2.4252
GBPCHF,20010313,00:00:00,2.4252,2.4203,2.4477,2.4396
GBPCHF,20010314,00:00:00,2.4395,2.4314,2.4492,2.4374
GBPCHF,20010315,00:00:00,2.4374,2.4374,2.4644,2.4586
GBPCHF,20010316,00:00:00,2.4585,2.4397,2.4702,2.4458
GBPCHF,20010319,00:00:00,2.4469,2.4232,2.4478,2.4302
GBPCHF,20010320,00:00:00,2.4302,2.4187,2.4322,2.4241
GBPCHF,20010321,00:00:00,2.4241,2.4192,2.4497,2.4444
GBPCHF,20010322,00:00:00,2.4444,2.4356,2.4572,2.4514
GBPCHF,20010323,00:00:00,2.4514,2.4387,2.4574,2.4548
GBPCHF,20010326,00:00:00,2.4538,2.4510,2.4632,2.4580
GBPCHF,20010327,00:00:00,2.4580,2.4530,2.4631,2.4619
