<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
GBPJPY,20010103,00:00:00,171.8800,169.0300,172.8100,169.3100
GBPJPY,20010104,00:00:00,169.3200,169.3200,173.8100,173.6300
GBPJPY,20010105,00:00:00,173.6400,173.5100,175.6300,175.0700
GBPJPY,20010108,00:00:00,175.2400,172.7900,175.7200,173.8800
GBPJPY,20010109,00:00:00,173.8800,172.0700,174.1000,173.9400
GBPJPY,20010110,00:00:00,173.9300,172.2400,174.3200,172.9600
GBPJPY,20010111,00:00:00,172.9600,172.9600,176.5500,176.4600
GBPJPY,20010112,00:00:00,176.4600,173.8300,177.5400,175.0100
GBPJPY,20010115,00:00:00,174.9800,174.9700,176.3300,175.6800
GBPJPY,20010116,00:00:00,175.6800,171.7700,175.8800,173.4600
GBPJPY,20010117,00:00:00,173.4600,172.0200,175.3000,175.2400
GBPJPY,20010118,00:00:00,175.2400,173.3800,176.5100,173.8600
GBPJPY,20010119,00:00:00,173.8600,171.2200,174.4900,171.5300
GBPJPY,20010122,00:00:00,171.3000,169.0900,171.4400,170.7900
GBPJPY,20010123,00:00:00,170.7900,170.6200,172.8700,171.1600
GBPJPY,20010124,00:00:00,171.1600,170.9700,173.1500,171.4900
GBPJPY,20010125,00:00:00,171.4900,169.1600,171.7800,170.5200
GBPJPY,20010126,00:00:00,170.5200,169.9900,171.4800,171.4500
GBPJPY,20010129,00:00:00,171.6100,169.3900,172.0000,170.2300
GBPJPY,20010130,00:00:00,170.2300,169.0300,170.7700,169.3500
GBPJPY,20010131,00:00:00,169.3500,169.0600,170.6800,170.5800
GBPJPY,20010201,00:00:00,170.5800,170.0700,171.4100,170.8100
GBPJPY,20010202,00:00:00,170.8200,169.5100,170.9200,169.8000
GBPJPY,20010205,00:00:00,169.8800,168.9300,170.8700,169.1300
GBPJPY,20010206,00:00:00,169.1300,167.2700,169.7100,167.5200
GBPJPY,20010207,00:00:00,167.5300,167.2500,170.1800,168.9000
GBPJPY,20010208,00:00:00,168.9100,167.1200,169.4000,168.6600
GBPJPY,20010209,00:00:00,168.6600,167.7100,170.4400,169.6700
GBPJPY,20010212,00:00:00,169.9800,169.6500,171.3700,170.6500
GBPJPY,20010213,00:00:00,170.6600,169.0700,170.9800,169.6300
GBPJPY,20010214,00:00:00,169.6300,168.8800,170.1800,169.0400
GBPJPY,20010215,00:00:00,169.0400,167.1300,169.7200,167.3700
GBPJPY,20010216,00:00:00,167.3800,166.4800,168.4700,167.4500
GBPJPY,20010219,00:00:00,167.8800,167.3800,168.3400,167.9200
GBPJPY,20010220,00:00:00,167.9200,165.4600,168.1900,167.3300
GBPJPY,20010221,00:00:00,167.3300,166.6900,168.6700,168.0700
GBPJPY,20010222,00:00:00,168.0700,167.1500,169.4500,168.9000
GBPJPY,20010223,00:00:00,168.9100,167.9400,169.2500,168.4000
GBPJPY,20010226,00:00:00,168.4000,168.0600,169.1900,168.1000
GBPJPY,20010227,00:00:00,168.1000,167.2200,168.2500,167.7700
GBPJPY,20010228,00:00:00,167.7700,167.1100,170.0300,169.5600
GBPJPY,20010301,00:00:00,169.5400,169.2500,171.1400,170.7600
GBPJPY,20010302,00:00:00,170.7600,170.6200,175.7500,175.1900
GBPJPY,20010305,00:00:00,175.0600,174.1600,176.2400,174.8400
GBPJPY,20010306,00:00:00,174.8400,173.3400,174.8400,174.1900
GBPJPY,20010307,00:00:00,174.1900,174.0100,176.0600,175.0100
GBPJPY,20010308,00:00:00,175.0100,174.4200,175.9800,175.8500
GBPJPY,20010309,00:00:00,175.8500,174.6200,176.4400,175.5600
GBPJPY,20010312,00:00:00,175.3600,175.2700,177.0500,176.5000
GBPJPY,20010313,00:00:00,176.5000,173.3700,176.6200,173.5500
GBPJPY,20010314,00:00:00,173.5400,172.2900,175.9100,174.7500
GBPJPY,20010315,00:00:00,174.7400,173.9900,176.3900,175.2500
