<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
NZDUSD,20030102,00:00:00,0.5250,0.5214,0.5252,0.5227
NZDUSD,20030103,00:00:00,0.5226,0.5219,0.5284,0.5283
NZDUSD,20030106,00:00:00,0.5266,0.5263,0.5332,0.5320
NZDUSD,20030107,00:00:00,0.5320,0.5293,0.5329,0.5297
NZDUSD,20030108,00:00:00,0.5298,0.5270,0.5331,0.5330
NZDUSD,20030109,00:00:00,0.5330,0.5296,0.5345,0.5320
NZDUSD,20030110,00:00:00,0.5320,0.5318,0.5386,0.5385
NZDUSD,20030113,00:00:00,0.5379,0.5370,0.5419,0.5415
NZDUSD,20030114,00:00:00,0.5415,0.5380,0.5416,0.5400
NZDUSD,20030115,00:00:00,0.5401,0.5356,0.5418,0.5410
NZDUSD,20030116,00:00:00,0.5411,0.5404,0.5471,0.5465
NZDUSD,20030117,00:00:00,0.5465,0.5462,0.5531,0.5517
NZDUSD,20030120,00:00:00,0.5512,0.5492,0.5538,0.5531
NZDUSD,20030121,00:00:00,0.5531,0.5432,0.5533,0.5461
NZDUSD,20030122,00:00:00,0.5457,0.5401,0.5482,0.5404
NZDUSD,20030123,00:00:00,0.5404,0.5404,0.5493,0.5493
NZDUSD,20030124,00:00:00,0.5492,0.5469,0.5525,0.5502
NZDUSD,20030127,00:00:00,0.5486,0.5473,0.5504,0.5478
NZDUSD,20030128,00:00:00,0.5478,0.5443,0.5478,0.5454
NZDUSD,20030129,00:00:00,0.5454,0.5454,0.5496,0.5491
NZDUSD,20030130,00:00:00,0.5491,0.5430,0.5493,0.5465
NZDUSD,20030131,00:00:00,0.5465,0.5434,0.5466,0.5444
NZDUSD,20030203,00:00:00,0.5421,0.5402,0.5449,0.5446
NZDUSD,20030204,00:00:00,0.5447,0.5437,0.5496,0.5488
NZDUSD,20030205,00:00:00,0.5488,0.5464,0.5515,0.5483
NZDUSD,20030206,00:00:00,0.5483,0.5465,0.5495,0.5487
NZDUSD,20030207,00:00:00,0.5487,0.5467,0.5500,0.5490
NZDUSD,20030210,00:00:00,0.5496,0.5485,0.5526,0.5489
NZDUSD,20030211,00:00:00,0.5489,0.5458,0.5511,0.5508
NZDUSD,20030212,00:00:00,0.5508,0.5467,0.5525,0.5475
NZDUSD,20030213,00:00:00,0.5475,0.5475,0.5550,0.5545
NZDUSD,20030214,00:00:00,0.5545,0.5503,0.5557,0.5524
NZDUSD,20030217,00:00:00,0.5509,0.5481,0.5522,0.5490
NZDUSD,20030218,00:00:00,0.5490,0.5488,0.5518,0.5494
NZDUSD,20030219,00:00:00,0.5494,0.5491,0.5542,0.5537
NZDUSD,20030220,00:00:00,0.5537,0.5527,0.5584,0.5576
NZDUSD,20030221,00:00:00,0.5577,0.5572,0.5601,0.5579
NZDUSD,20030224,00:00:00,0.5577,0.5571,0.5664,0.5643
NZDUSD,20030225,00:00:00,0.5643,0.5635,0.5678,0.5639
NZDUSD,20030226,00:00:00,0.5639,0.5624,0.5660,0.5653
NZDUSD,20030227,00:00:00,0.5653,0.5610,0.5664,0.5613
NZDUSD,20030228,00:00:00,0.5613,0.5550,0.5621,0.5592
NZDUSD,20030303,00:00:00,0.5577,0.5557,0.5628,0.5611
NZDUSD,20030304,00:00:00,0.5611,0.5600,0.5630,0.5621
NZDUSD,20030305,00:00:00,0.5622,0.5622,0.5677,0.5659
NZDUSD,20030306,00:00:00,0.5659,0.5635,0.5665,0.5645
NZDUSD,20030307,00:00:00,0.5645,0.5606,0.5671,0.5625
NZDUSD,20030310,00:00:00,0.5618,0.5584,0.5639,0.5592
NZDUSD,20030311,00:00:00,0.5592,0.5520,0.5609,0.5527
NZDUSD,20030312,00:00:00,0.5529,0.5461,0.5547,0.5463
NZDUSD,20030313,00:00:00,0.5464,0.5416,0.5487,0.5468
NZDUSD,20030314,00:00:00,0.5469,0.5455,0.5517,0.5514
NZDUSD,20030317,00:00:00,0.5508,0.5472,0.5560,0.5472
NZDUSD,20030318,00:00:00,0.5471,0.5432,0.5503,0.5482
NZDUSD,20030319,00:00:00,0.5482,0.5469,0.5513,0.5491
NZDUSD,20030320,00:00:00,0.5492,0.5483,0.5543,0.5525
NZDUSD,20030321,00:00:00,0.5526,0.5475,0.5534,0.5504
NZDUSD,20030324,00:00:00,0.5522,0.5502,0.5527,0.5515
NZDUSD,20030325,00:00:00,0.5515,0.5490,0.5546,0.5491
NZDUSD,20030326,00:00:00,0.5490,0.5455,0.5507,0.5474
NZDUSD,20030327,00:00:00,0.5474,0.5455,0.5514,0.5502
NZDUSD,20030328,00:00:00,0.5504,0.5487,0.5510,0.5508
NZDUSD,20030331,00:00:00,0.5502,0.5501,0.5549,0.5547
NZDUSD,20030401,00:00:00,0.5547,0.5523,0.5559,0.5543
NZDUSD,20030402,00:00:00,0.5542,0.5491,0.5555,0.5516
NZDUSD,20030403,00:00:00,0.5517,0.5454,0.5527,0.5477
NZDUSD,20030404,00:00:00,0.5478,0.5388,0.5482,0.5399
NZDUSD,20030407,00:00:00,0.5387,0.5322,0.5422,0.5405
NZDUSD,20030408,00:00:00,0.5404,0.5390,0.5454,0.5445
NZDUSD,20030409,00:00:00,0.5445,0.5435,0.5481,0.5479
NZDUSD,20030410,00:00:00,0.5478,0.5451,0.5482,0.5471
NZDUSD,20030411,00:00:00,0.5472,0.5430,0.5474,0.5457
NZDUSD,20030414,00:00:00,0.5453,0.5433,0.5483,0.5473
NZDUSD,20030415,00:00:00,0.5473,0.5458,0.5544,0.5526
NZDUSD,20030416,00:00:00,0.5527,0.5519,0.5576,0.5575
NZDUSD,20030417,00:00:00,0.5575,0.5543,0.5576,0.5566
NZDUSD,20030418,00:00:00,0.5567,0.5554,0.5567,0.5565
NZDUSD,20030421,00:00:00,0.5563,0.5539,0.5573,0.5541
NZDUSD,20030422,00:00:00,0.5542,0.5541,0.5620,0.5612
NZDUSD,20030423,00:00:00,0.5611,0.5516,0.5615,0.5516
NZDUSD,20030424,00:00:00,0.5515,0.5514,0.5561,0.5535
NZDUSD,20030425,00:00:00,0.5536,0.5500,0.5553,0.5544
NZDUSD,20030428,00:00:00,0.5553,0.5538,0.5577,0.5553
NZDUSD,20030429,00:00:00,0.5552,0.5544,0.5587,0.5586
NZDUSD,20030430,00:00:00,0.5587,0.5577,0.5619,0.5616
NZDUSD,20030501,00:00:00,0.5617,0.5594,0.5641,0.5630
NZDUSD,20030502,00:00:00,0.5630,0.5609,0.5641,0.5636
NZDUSD,20030505,00:00:00,0.5628,0.5623,0.5676,0.5669
NZDUSD,20030506,00:00:00,0.5669,0.5658,0.5743,0.5733
NZDUSD,20030507,00:00:00,0.5733,0.5642,0.5735,0.5674
NZDUSD,20030508,00:00:00,0.5673,0.5660,0.5754,0.5741
NZDUSD,20030509,00:00:00,0.5740,0.5733,0.5774,0.5762
NZDUSD,20030512,00:00:00,0.5788,0.5771,0.5820,0.5803
NZDUSD,20030513,00:00:00,0.5804,0.5737,0.5804,0.5765
NZDUSD,20030514,00:00:00,0.5764,0.5719,0.5764,0.5746
NZDUSD,20030515,00:00:00,0.5746,0.5701,0.5750,0.5704
NZDUSD,20030516,00:00:00,0.5705,0.5697,0.5821,0.5815
NZDUSD,20030519,00:00:00,0.5859,0.5812,0.5865,0.5840
NZDUSD,20030520,00:00:00,0.5841,0.5814,0.5876,0.5876
NZDUSD,20030521,00:00:00,0.5876,0.5797,0.5884,0.5803
NZDUSD,20030522,00:00:00,0.5803,0.5791,0.5837,0.5825
NZDUSD,20030523,00:00:00,0.5825,0.5800,0.5861,0.5842
NZDUSD,20030526,00:00:00,0.5845,0.5832,0.5854,0.5851
NZDUSD,20030527,00:00:00,0.5850,0.5807,0.5867,0.5807
NZDUSD,20030528,00:00:00,0.5807,0.5717,0.5823,0.5773
NZDUSD,20030529,00:00:00,0.5773,0.5703,0.5791,0.5781
NZDUSD,20030530,00:00:00,0.5783,0.5733,0.5791,0.5770
NZDUSD,20030602,00:00:00,0.5749,0.5727,0.5816,0.5802
NZDUSD,20030603,00:00:00,0.5802,0.5768,0.5813,0.5804
NZDUSD,20030604,00:00:00,0.5804,0.5790,0.5842,0.5816
NZDUSD,20030605,00:00:00,0.5817,0.5738,0.5831,0.5787
NZDUSD,20030606,00:00:00,0.5787,0.5745,0.5814,0.5779
NZDUSD,20030609,00:00:00,0.5764,0.5721,0.5779,0.5727
NZDUSD,20030610,00:00:00,0.5727,0.5722,0.5757,0.5723
NZDUSD,20030611,00:00:00,0.5723,0.5713,0.5782,0.5767
NZDUSD,20030612,00:00:00,0.5766,0.5757,0.5808,0.5784
