<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
XAGUSD,20010103,00:00:00,4.5800,4.4800,4.5800,4.4900
XAGUSD,20010104,00:00:00,4.4900,4.4700,4.5400,4.5400
XAGUSD,20010105,00:00:00,4.5400,4.5100,4.6500,4.5500
XAGUSD,20010108,00:00:00,4.5500,4.5300,4.5700,4.5500
XAGUSD,20010109,00:00:00,4.5500,4.5300,4.5500,4.5500
XAGUSD,20010110,00:00:00,4.5400,4.5000,4.5500,4.5400
XAGUSD,20010111,00:00:00,4.5400,4.5100,4.5700,4.5600
XAGUSD,20010112,00:00:00,4.5600,4.5300,4.6300,4.6200
XAGUSD,20010115,00:00:00,4.6100,4.5800,4.7900,4.5900
XAGUSD,20010116,00:00:00,4.5900,4.5900,4.6700,4.6700
XAGUSD,20010117,00:00:00,4.6700,4.6300,4.7600,4.7000
XAGUSD,20010118,00:00:00,4.7000,4.6400,4.7800,4.7800
XAGUSD,20010119,00:00:00,4.7700,4.7400,4.8800,4.7400
XAGUSD,20010122,00:00:00,4.7400,4.7100,4.8000,4.7800
XAGUSD,20010123,00:00:00,4.7800,4.7600,4.7900,4.7800
XAGUSD,20010124,00:00:00,4.7800,4.7300,5.0100,4.7600
XAGUSD,20010125,00:00:00,4.7600,4.7200,4.8200,4.7900
XAGUSD,20010126,00:00:00,4.7900,4.7500,4.8200,4.7900
XAGUSD,20010129,00:00:00,4.7900,4.7600,4.8000,4.7900
XAGUSD,20010130,00:00:00,4.7900,4.7800,4.8300,4.7800
XAGUSD,20010131,00:00:00,4.8000,4.7700,4.8100,4.7800
XAGUSD,20010201,00:00:00,4.7800,4.7500,4.8000,4.7800
XAGUSD,20010202,00:00:00,4.7800,4.7300,4.7900,4.7600
XAGUSD,20010205,00:00:00,4.7600,4.6600,4.7600,4.6600
XAGUSD,20010206,00:00:00,4.6600,4.6300,4.6700,4.6400
XAGUSD,20010207,00:00:00,4.6400,4.5900,4.6600,4.6100
XAGUSD,20010208,00:00:00,4.6100,4.5500,4.6100,4.5500
XAGUSD,20010209,00:00:00,4.5500,4.5200,4.5700,4.5400
XAGUSD,20010212,00:00:00,4.5400,4.5200,4.5700,4.5500
XAGUSD,20010213,00:00:00,4.5500,4.5300,4.5700,4.5500
XAGUSD,20010214,00:00:00,4.5500,4.4900,4.5500,4.5100
XAGUSD,20010215,00:00:00,4.5100,4.4800,4.5300,4.5100
XAGUSD,20010216,00:00:00,4.5100,4.4700,4.5100,4.4700
XAGUSD,20010219,00:00:00,4.5000,4.4800,4.5100,4.5000
XAGUSD,20010220,00:00:00,4.5100,4.4100,4.5100,4.4200
XAGUSD,20010221,00:00:00,4.4300,4.3900,4.4400,4.4100
XAGUSD,20010222,00:00:00,4.4100,4.4000,4.4300,4.4200
XAGUSD,20010223,00:00:00,4.4200,4.3800,4.4600,4.4200
XAGUSD,20010226,00:00:00,4.4300,4.4200,4.4600,4.4500
XAGUSD,20010227,00:00:00,4.4500,4.4100,4.4600,4.4200
XAGUSD,20010228,00:00:00,4.4200,4.3900,4.5300,4.4900
XAGUSD,20010301,00:00:00,4.4900,4.3900,4.5200,4.3900
XAGUSD,20010302,00:00:00,4.3900,4.3900,4.4400,4.4100
XAGUSD,20010305,00:00:00,4.4200,4.3800,4.4400,4.4100
XAGUSD,20010306,00:00:00,4.4100,4.3900,4.4300,4.4200
XAGUSD,20010307,00:00:00,4.4200,4.4000,4.4500,4.4300
XAGUSD,20010308,00:00:00,4.4300,4.4200,4.5100,4.5000
XAGUSD,20010309,00:00:00,4.5000,4.4900,4.5300,4.5000
XAGUSD,20010312,00:00:00,4.5000,4.4000,4.5300,4.4200
XAGUSD,20010313,00:00:00,4.4200,4.3900,4.4400,4.4200
XAGUSD,20010314,00:00:00,4.4200,4.4000,4.4500,4.4400
XAGUSD,20010315,00:00:00,4.4400,4.3300,4.4400,4.3400
XAGUSD,20010316,00:00:00,4.3400,4.2800,4.3600,4.3000
XAGUSD,20010319,00:00:00,4.3000,4.3000,4.3300,4.3200
XAGUSD,20010320,00:00:00,4.3200,4.3000,4.3500,4.3400
XAGUSD,20010321,00:00:00,4.3400,4.3100,4.3500,4.3300
XAGUSD,20010322,00:00:00,4.3300,4.3000,4.3400,4.3400
XAGUSD,20010323,00:00:00,4.3400,4.3200,4.3800,4.3600
XAGUSD,20010326,00:00:00,4.3400,4.3400,4.3700,4.3600
XAGUSD,20010327,00:00:00,4.3700,4.3400,4.4300,4.4200
XAGUSD,20010328,00:00:00,4.4300,4.3600,4.4300,4.3700
XAGUSD,20010329,00:00:00,4.3700,4.3100,4.3900,4.3200
XAGUSD,20010330,00:00:00,4.3200,4.2800,4.3300,4.2900
XAGUSD,20010402,00:00:00,4.2900,4.2600,4.3200,4.3100
XAGUSD,20010403,00:00:00,4.3100,4.2900,4.3500,4.3000
XAGUSD,20010404,00:00:00,4.3000,4.2900,4.3500,4.3300
XAGUSD,20010405,00:00:00,4.3300,4.3100,4.3600,4.3400
XAGUSD,20010406,00:00:00,4.3400,4.3200,4.3600,4.3400
XAGUSD,20010409,00:00:00,4.3100,4.3000,4.3400,4.3200
XAGUSD,20010410,00:00:00,4.3200,4.3000,4.3300,4.3200
XAGUSD,20010411,00:00:00,4.3200,4.2900,4.3900,4.3700
XAGUSD,20010412,00:00:00,4.3700,4.3500,4.3800,4.3700
XAGUSD,20010416,00:00:00,4.3700,4.3500,4.4600,4.4400
XAGUSD,20010417,00:00:00,4.4500,4.3600,4.4500,4.3700
XAGUSD,20010418,00:00:00,4.3400,4.3200,4.3800,4.3800
XAGUSD,20010419,00:00:00,4.3800,4.3300,4.4400,4.4300
XAGUSD,20010420,00:00:00,4.4300,4.3800,4.4800,4.4400
XAGUSD,20010423,00:00:00,4.4300,4.3900,4.4500,4.4500
XAGUSD,20010424,00:00:00,4.4200,4.4200,4.4800,4.4400
XAGUSD,20010425,00:00:00,4.4400,4.3500,4.4500,4.3700
XAGUSD,20010426,00:00:00,4.3700,4.3600,4.4000,4.3800
XAGUSD,20010427,00:00:00,4.3800,4.3500,4.4100,4.3600
XAGUSD,20010430,00:00:00,4.3600,4.3200,4.3700,4.3300
XAGUSD,20010501,00:00:00,4.3300,4.3200,4.3600,4.3600
XAGUSD,20010502,00:00:00,4.3600,4.3400,4.3900,4.3600
XAGUSD,20010503,00:00:00,4.3700,4.3300,4.3800,4.3400
XAGUSD,20010504,00:00:00,4.3400,4.3000,4.3600,4.3400
XAGUSD,20010507,00:00:00,4.3400,4.3000,4.3400,4.3000
XAGUSD,20010508,00:00:00,4.3000,4.3000,4.3300,4.3200
XAGUSD,20010509,00:00:00,4.3200,4.3100,4.4000,4.3800
XAGUSD,20010510,00:00:00,4.3800,4.3200,4.3900,4.3400
XAGUSD,20010511,00:00:00,4.3400,4.3200,4.3500,4.3300
XAGUSD,20010514,00:00:00,4.3300,4.3100,4.3600,4.3400
XAGUSD,20010515,00:00:00,4.3400,4.3000,4.3400,4.3000
XAGUSD,20010516,00:00:00,4.3000,4.3000,4.4500,4.4300
XAGUSD,20010517,00:00:00,4.4300,4.3900,4.4900,4.4700
XAGUSD,20010518,00:00:00,4.4700,4.4300,4.5900,4.5600
XAGUSD,20010521,00:00:00,4.5600,4.5100,4.6200,4.5400
XAGUSD,20010522,00:00:00,4.5400,4.5000,4.5700,4.5400
XAGUSD,20010523,00:00:00,4.5400,4.4900,4.5700,4.5500
XAGUSD,20010525,00:00:00,4.5900,4.5200,4.5900,4.5400
XAGUSD,20010528,00:00:00,4.5400,4.5300,4.5600,4.5400
XAGUSD,20010529,00:00:00,4.5400,4.4900,4.5400,4.5100
XAGUSD,20010530,00:00:00,4.5100,4.4100,4.5100,4.4200
XAGUSD,20010531,00:00:00,4.4200,4.3800,4.4500,4.3800
XAGUSD,20010601,00:00:00,4.3800,4.3600,4.4100,4.4000
XAGUSD,20010604,00:00:00,4.4000,4.3000,4.4100,4.3100
XAGUSD,20010605,00:00:00,4.3100,4.3100,4.3800,4.3300
XAGUSD,20010606,00:00:00,4.3300,4.3200,4.3500,4.3300
XAGUSD,20010607,00:00:00,4.3300,4.3100,4.3400,4.3300
XAGUSD,20010608,00:00:00,4.3300,4.3100,4.3700,4.3600
XAGUSD,20010611,00:00:00,4.3600,4.3100,4.3600,4.3300
XAGUSD,20010612,00:00:00,4.3300,4.3200,4.3700,4.3600
XAGUSD,20010613,00:00:00,4.3700,4.3400,4.4100,4.4000
XAGUSD,20010614,00:00:00,4.4000,4.3800,4.4800,4.4700
XAGUSD,20010615,00:00:00,4.4600,4.3900,4.5000,4.4000
XAGUSD,20010618,00:00:00,4.3900,4.3600,4.4300,4.4200
XAGUSD,20010619,00:00:00,4.4200,4.3800,4.4200,4.4000
XAGUSD,20010620,00:00:00,4.4000,4.3200,4.4000,4.3400
XAGUSD,20010621,00:00:00,4.3400,4.2800,4.3500,4.3200
XAGUSD,20010622,00:00:00,4.3200,4.3000,4.3400,4.3000
XAGUSD,20010625,00:00:00,4.2900,4.2900,4.3200,4.2900
XAGUSD,20010626,00:00:00,4.3000,4.2800,4.3600,4.3600
XAGUSD,20010627,00:00:00,4.3600,4.2900,4.3600,4.3000
XAGUSD,20010628,00:00:00,4.3100,4.2800,4.3200,4.2900
XAGUSD,20010629,00:00:00,4.2900,4.2800,4.3300,4.2900
XAGUSD,20010702,00:00:00,4.2900,4.2500,4.3100,4.2700
XAGUSD,20010703,00:00:00,4.2700,4.2300,4.2800,4.2500
XAGUSD,20010704,00:00:00,4.2400,4.2300,4.2600,4.2600
XAGUSD,20010705,00:00:00,4.2600,4.2100,4.2600,4.2200
XAGUSD,20010706,00:00:00,4.2100,4.2000,4.2500,4.2500
XAGUSD,20010709,00:00:00,4.2400,4.2100,4.2600,4.2200
XAGUSD,20010710,00:00:00,4.2200,4.2200,4.2600,4.2400
XAGUSD,20010711,00:00:00,4.2400,4.2200,4.2600,4.2400
XAGUSD,20010712,00:00:00,4.2400,4.2200,4.2600,4.2500
XAGUSD,20010713,00:00:00,4.2500,4.2300,4.2900,4.2900
XAGUSD,20010716,00:00:00,4.2900,4.1800,4.3000,4.2000
XAGUSD,20010717,00:00:00,4.2000,4.1900,4.2700,4.2300
